division	name	ID	Glottocode	Latitude	Longitude
Southeastern	Awabakal	Awabakal	awab1243	-33.12847	151.43555
Southeastern	Bandjalang	Bandjalang	band1358		
Southeastern	Gumbaynggir	Gumbaynggir	kumb1268	-29.8189	152.913
Southeastern	Wathawurrung	Wathawurrung	wath1238	-37.68777565	144.1013148
Southeastern	Bunganditj	Bunganditj	bung1264	-36.5	140.5
Southeastern	Wiradjuri	Wiradjuri	wira1262	-34.0742	145.994
Northern	Kalkatungu	Kalkatungu	kalk1246	-21.0	139.5
Northern	Mayi-Kulan	MayiKulan	mayi1236	-18.56	141.46
Northern	Dyirbal	Dyirbal	dyir1250	-17.4516	145.544
Northern	Guugu-Yimidhirr	GuuguYimidhirr	gugu1255	-14.9424	144.831
Northern	Yidiny	Yidiny	yidi1250	-17.1332	145.876
Northern	Wik Mungkan	WikMungkan	wikm1247	-13.98051	141.81611
Central	Adnyamathanha	Adnyamathanha	adny1235	-30.1451	138.671
Central	Arabana	Arabana	arab1267	-28.705	135.449
Central	Diyari	Diyari	dier1241	-28.1667	138.0
Central	Paakantyi	Paakantyi	darl1243	-32.7021	142.695
Central	Wangkangurru	Wangkangurru	wang1290	-25.8148	135.941
Central	Pitta-Pitta	PittaPitta	pitt1247	-22.7952	139.983
Western	Pitjantjatjara	Pitjantjatjara	pitj1243	-26.9704	131.357
Western	Ngaanyatjarra	Ngaanyatjarra	ngaa1240	-25.7514	127.602
Western	Warlpiri	Warlpiri	warl1254	-20.1008	131.05
Western	Warumungu	Warumungu	waru1265	-20.6479	134.375
Western	Nyangumarta	Nyangumarta	nyan1301	-20.6271	121.391
Western	Yindjibarndi	Yindjibarndi	yind1247	-21.5379	117.001
